Year,Region,Country,"Nationality Wise Number Of Foreign Tourists Arrivals (Ftas) In India (UOM:Number), Scaling Factor:1","Nationality Wise Average Duration Of Stay By Foreign Tourists Arrivals (Ftas) In India (UOM:Day), Scaling Factor:1"
"Calendar Year (Jan - Dec), 2020",Australasia,New Zealand,16653.0,32.3
"Calendar Year (Jan - Dec), 2020",Australasia,Others,1636.0,27.5
"Calendar Year (Jan - Dec), 2020",West Asia,Bahrain,3429.0,17.2
"Calendar Year (Jan - Dec), 2020",West Asia,Iraq,17823.0,22.0
"Calendar Year (Jan - Dec), 2020",West Asia,Israel,17444.0,19.7
"Calendar Year (Jan - Dec), 2020",West Asia,Oman,15430.0,12.4
"Calendar Year (Jan - Dec), 2020",West Asia,Others,8980.0,18.9
"Calendar Year (Jan - Dec), 2020",West Asia,Saudi Arabia,10423.0,15.1
"Calendar Year (Jan - Dec), 2020",West Asia,Turkey,10853.0,10.3
"Calendar Year (Jan - Dec), 2020",West Asia,United Arab Emirates,7387.0,11.4
"Calendar Year (Jan - Dec), 2020",West Asia,Yemen,5882.0,97.9
"Calendar Year (Jan - Dec), 2020",Not classified elsewhere,Not Classified Elsewhere,3018.0,30.3
"Calendar Year (Jan - Dec), 2020",Central and South America,Argentina,4294.0,23.6
"Calendar Year (Jan - Dec), 2020",Central and South America,Brazil,8092.0,23.8
"Calendar Year (Jan - Dec), 2020",Central and South America,Mexico,4580.0,20.6
"Calendar Year (Jan - Dec), 2020",Central and South America,Others,10002.0,21.4
"Calendar Year (Jan - Dec), 2019",North America,Canada,,27.1
"Calendar Year (Jan - Dec), 2019",North America,Others,,
"Calendar Year (Jan - Dec), 2019",North America,United States Of America,,23.4
"Calendar Year (Jan - Dec), 2019",Western Europe,Austria,,16.8
"Calendar Year (Jan - Dec), 2019",Western Europe,Belgium,,17.5
"Calendar Year (Jan - Dec), 2019",Western Europe,Denmark,,13.8
"Calendar Year (Jan - Dec), 2019",Western Europe,Finland,,13.1
"Calendar Year (Jan - Dec), 2019",Western Europe,France,,18.2
"Calendar Year (Jan - Dec), 2019",Western Europe,Germany,,14.2
