Sl. No.,Districts/ States,Top 5 Commodities,Products/Services identified with Export Potential,Value of Export (in US$ Million)
66,Bengaluru Urban (Karnataka),3. Rmg Of All Textiles,"Processed Foods, Vegetables and Flowers, Engineering Machine tools/ Automobile & Auto components/ Aerospace components / Precision components, Earth moving machinery, Defence manufacturing, Electrical machinery, etc., ESDM products. Pharma & Biotech, Electrical machinery, Plant extracts, FIBC bags & packaging products, Readymade garments/Textiles. Services-Hospital/ Health/ Wellness/ Educational, Engineering Services, Global Research & Development, Hub for manufacturing/ Global Development Centre, IT/ITES.",607.79
67,Bengaluru Urban (Karnataka),4. Drugs And Pharmaceuticals,"Processed Foods, Vegetables and Flowers, Engineering Machine tools/ Automobile & Auto components/ Aerospace components / Precision components, Earth moving machinery, Defence manufacturing, Electrical machinery, etc., ESDM products. Pharma & Biotech, Electrical machinery, Plant extracts, FIBC bags & packaging products, Readymade garments/Textiles. Services-Hospital/ Health/ Wellness/ Educational, Engineering Services, Global Research & Development, Hub for manufacturing/ Global Development Centre, IT/ITES.",445.91
68,Bengaluru Urban (Karnataka),5. Organic And Inorganic Chemicals,"Processed Foods, Vegetables and Flowers, Engineering Machine tools/ Automobile & Auto components/ Aerospace components / Precision components, Earth moving machinery, Defence manufacturing, Electrical machinery, etc., ESDM products. Pharma & Biotech, Electrical machinery, Plant extracts, FIBC bags & packaging products, Readymade garments/Textiles. Services-Hospital/ Health/ Wellness/ Educational, Engineering Services, Global Research & Development, Hub for manufacturing/ Global Development Centre, IT/ITES.",208.47
69,Total of top 5 commodities,Total of top 5 commodities,Total of top 5 commodities,3283.09
70,Total export of District,Total export of District,Total export of District,3749.18
71,Devbhumi Dwarka (Gujarat),1. Petroleum Products,Marine & Fisheries,3676.8
72,Devbhumi Dwarka (Gujarat),2. Organic And Inorganic Chemicals,Marine & Fisheries,4.79
73,Devbhumi Dwarka (Gujarat),3. Marine Products,Marine & Fisheries,2.97
74,Devbhumi Dwarka (Gujarat),4. Engineering Goods,Marine & Fisheries,2.08
75,Devbhumi Dwarka (Gujarat),5. Ceramic Products And Glassware,Marine & Fisheries,0.92
76,Total of top 5 commodities,Total of top 5 commodities,Total of top 5 commodities,3687.56
77,Total export of District,Total export of District,Total export of District,3688.76
78,Kutch (Gujarat),1. Engineering Goods,"Mango, Kutch Embroidery, Kutch Shawls, Marine Products, Castor",821.72
79,Kutch (Gujarat),2. Organic And Inorganic Chemicals,"Mango, Kutch Embroidery, Kutch Shawls, Marine Products, Castor",477.16
80,Kutch (Gujarat),3. Rice,"Mango, Kutch Embroidery, Kutch Shawls, Marine Products, Castor",391.44
81,Kutch (Gujarat),"4. Cotton Yarn/Fabs./Madeups, Handloom Products Etc.","Mango, Kutch Embroidery, Kutch Shawls, Marine Products, Castor",331.5
