Region,Country,Number of Arrivals-2019,Number of Arrivals-2020,Number of Arrivals-2021,Percentage Share  - 2020/19,Percentage Change - 2021/20,Percentage Change - 2021,Year,"Nationality Wise Average Duration Of Stay By Foreign Tourists Arrivals (Ftas) In India (UOM:Day), Scaling Factor:1"
Eastern Europe,Kazakhstan,15709,5918.0,2378,-62.3,-59.8,0.16,"Calendar Year (Jan - Dec), 2019",14.4
Eastern Europe,Poland,33687,12161.0,2461,-63.9,-79.8,0.16,"Calendar Year (Jan - Dec), 2021",24.03
Eastern Europe,Poland,33687,12161.0,2461,-63.9,-79.8,0.16,"Calendar Year (Jan - Dec), 2020",15.1
Eastern Europe,Poland,33687,12161.0,2461,-63.9,-79.8,0.16,"Calendar Year (Jan - Dec), 2019",13.6
Eastern Europe,Ukraine,29468,10619.0,5197,-64.0,-51.1,0.34,"Calendar Year (Jan - Dec), 2021",21.58
Eastern Europe,Ukraine,29468,10619.0,5197,-64.0,-51.1,0.34,"Calendar Year (Jan - Dec), 2020",23.9
Eastern Europe,Ukraine,29468,10619.0,5197,-64.0,-51.1,0.34,"Calendar Year (Jan - Dec), 2019",18.2
Eastern Europe,Others,103220,30710.0,13875,-70.2,-54.8,0.91,"Calendar Year (Jan - Dec), 2021",25.16
Eastern Europe,Others,103220,30710.0,13875,-70.2,-54.8,0.91,"Calendar Year (Jan - Dec), 2020",14.2
Eastern Europe,Others,103220,30710.0,13875,-70.2,-54.8,0.91,"Calendar Year (Jan - Dec), 2019",14.1
Africa,Egypt,21538,4886.0,1739,-77.3,-64.4,0.11,"Calendar Year (Jan - Dec), 2021",26.07
Africa,Egypt,21538,4886.0,1739,-77.3,-64.4,0.11,"Calendar Year (Jan - Dec), 2020",13.4
Africa,Egypt,21538,4886.0,1739,-77.3,-64.4,0.11,"Calendar Year (Jan - Dec), 2019",8.8
Africa,Kenya,48639,12779.0,13373,-73.7,4.6,0.88,"Calendar Year (Jan - Dec), 2021",33.92
Africa,Kenya,48639,12779.0,13373,-73.7,4.6,0.88,"Calendar Year (Jan - Dec), 2020",27.7
Africa,Kenya,48639,12779.0,13373,-73.7,4.6,0.88,"Calendar Year (Jan - Dec), 2019",20.1
Africa,Mauritius,46814,11410.0,2118,-75.6,-81.4,0.14,"Calendar Year (Jan - Dec), 2021",47.07
Africa,Mauritius,46814,11410.0,2118,-75.6,-81.4,0.14,"Calendar Year (Jan - Dec), 2020",18.1
Africa,Mauritius,46814,11410.0,2118,-75.6,-81.4,0.14,"Calendar Year (Jan - Dec), 2019",13.7
Africa,Nigeria,14033,3819.0,5516,-72.8,44.4,0.36,"Calendar Year (Jan - Dec), 2021",53.53
Africa,Nigeria,14033,3819.0,5516,-72.8,44.4,0.36,"Calendar Year (Jan - Dec), 2020",49.7
Africa,Nigeria,14033,3819.0,5516,-72.8,44.4,0.36,"Calendar Year (Jan - Dec), 2019",29.2
Africa,South Africa,57274,12561.0,3820,-78.1,-69.6,0.25,"Calendar Year (Jan - Dec), 2021",38.83
Africa,South Africa,57274,12561.0,3820,-78.1,-69.6,0.25,"Calendar Year (Jan - Dec), 2020",22.3
Africa,South Africa,57274,12561.0,3820,-78.1,-69.6,0.25,"Calendar Year (Jan - Dec), 2019",15.8
Africa,Sudan,34003,9114.0,6781,-73.2,-25.6,0.44,"Calendar Year (Jan - Dec), 2021",49.03
Africa,Sudan,34003,9114.0,6781,-73.2,-25.6,0.44,"Calendar Year (Jan - Dec), 2020",36.5
Africa,Sudan,34003,9114.0,6781,-73.2,-25.6,0.44,"Calendar Year (Jan - Dec), 2019",22.0
Africa,Tanzania,23774,6501.0,6480,-72.7,-0.3,0.42,"Calendar Year (Jan - Dec), 2021",38.63
Africa,Tanzania,23774,6501.0,6480,-72.7,-0.3,0.42,"Calendar Year (Jan - Dec), 2020",28.6
Africa,Others,116233,29226.0,29087,-74.9,-0.5,1.9,"Calendar Year (Jan - Dec), 2021",42.93
Africa,Others,116233,29226.0,29087,-74.9,-0.5,1.9,"Calendar Year (Jan - Dec), 2020",26.4
Africa,Others,116233,29226.0,29087,-74.9,-0.5,1.9,"Calendar Year (Jan - Dec), 2019",20.7
West Asia,Bahrain,15128,3429.0,1727,-77.3,-49.6,0.11,"Calendar Year (Jan - Dec), 2021",46.46
West Asia,Bahrain,15128,3429.0,1727,-77.3,-49.6,0.11,"Calendar Year (Jan - Dec), 2020",17.2
West Asia,Bahrain,15128,3429.0,1727,-77.3,-49.6,0.11,"Calendar Year (Jan - Dec), 2019",15.3
West Asia,Iraq,61907,17823.0,16213,-71.2,-9.0,1.06,"Calendar Year (Jan - Dec), 2021",26.22
West Asia,Iraq,61907,17823.0,16213,-71.2,-9.0,1.06,"Calendar Year (Jan - Dec), 2020",22.0
West Asia,Iraq,61907,17823.0,16213,-71.2,-9.0,1.06,"Calendar Year (Jan - Dec), 2019",17.7
West Asia,Israel,73137,17444.0,4601,-76.1,-73.6,0.3,"Calendar Year (Jan - Dec), 2021",20.79
West Asia,Israel,73137,17444.0,4601,-76.1,-73.6,0.3,"Calendar Year (Jan - Dec), 2020",19.7
West Asia,Israel,73137,17444.0,4601,-76.1,-73.6,0.3,"Calendar Year (Jan - Dec), 2019",21.0
West Asia,Oman,74564,15430.0,10174,-79.3,-34.1,0.67,"Calendar Year (Jan - Dec), 2021",19.21
West Asia,Oman,74564,15430.0,10174,-79.3,-34.1,0.67,"Calendar Year (Jan - Dec), 2020",12.4
West Asia,Oman,74564,15430.0,10174,-79.3,-34.1,0.67,"Calendar Year (Jan - Dec), 2019",11.5
West Asia,Saudi Arabia,48526,10423.0,1088,-78.5,-89.6,0.07,"Calendar Year (Jan - Dec), 2021",48.57
West Asia,Saudi Arabia,48526,10423.0,1088,-78.5,-89.6,0.07,"Calendar Year (Jan - Dec), 2020",15.1
West Asia,Saudi Arabia,48526,10423.0,1088,-78.5,-89.6,0.07,"Calendar Year (Jan - Dec), 2019",13.0
West Asia,Turkey,35113,10853.0,3710,-69.1,-65.8,0.24,"Calendar Year (Jan - Dec), 2021",17.32
West Asia,Turkey,35113,10853.0,3710,-69.1,-65.8,0.24,"Calendar Year (Jan - Dec), 2020",10.3
West Asia,Turkey,35113,10853.0,3710,-69.1,-65.8,0.24,"Calendar Year (Jan - Dec), 2019",7.7
West Asia,Others,42090,8980.0,4499,-78.7,-49.9,0.29,"Calendar Year (Jan - Dec), 2021",27.15
West Asia,Others,42090,8980.0,4499,-78.7,-49.9,0.29,"Calendar Year (Jan - Dec), 2020",18.9
West Asia,Others,42090,8980.0,4499,-78.7,-49.9,0.29,"Calendar Year (Jan - Dec), 2019",11.8
South Asia,Afghanistan,124120,47561.0,36451,-61.7,-23.4,2.39,"Calendar Year (Jan - Dec), 2021",22.92
South Asia,Afghanistan,124120,47561.0,36451,-61.7,-23.4,2.39,"Calendar Year (Jan - Dec), 2020",27.4
South Asia,Afghanistan,124120,47561.0,36451,-61.7,-23.4,2.39,"Calendar Year (Jan - Dec), 2019",22.2
South Asia,Bangladesh,2577727,549273.0,240554,-78.7,-56.2,15.75,"Calendar Year (Jan - Dec), 2021",25.45
South Asia,Bangladesh,2577727,549273.0,240554,-78.7,-56.2,15.75,"Calendar Year (Jan - Dec), 2020",17.8
South Asia,Bangladesh,2577727,549273.0,240554,-78.7,-56.2,15.75,"Calendar Year (Jan - Dec), 2019",13.9
South Asia,Bhutan,28178,7901.0,6081,-72.0,-23.0,0.4,"Calendar Year (Jan - Dec), 2021",31.77
South Asia,Bhutan,28178,7901.0,6081,-72.0,-23.0,0.4,"Calendar Year (Jan - Dec), 2020",14.0
South Asia,Bhutan,28178,7901.0,6081,-72.0,-23.0,0.4,"Calendar Year (Jan - Dec), 2019",16.0
South Asia,Iran,33288,7090.0,2369,-78.7,-66.6,0.16,"Calendar Year (Jan - Dec), 2021",65.4
South Asia,Iran,33288,7090.0,2369,-78.7,-66.6,0.16,"Calendar Year (Jan - Dec), 2020",28.1
South Asia,Iran,33288,7090.0,2369,-78.7,-66.6,0.16,"Calendar Year (Jan - Dec), 2019",19.8
South Asia,Maldives,78587,14536.0,26571,-81.5,82.8,1.74,"Calendar Year (Jan - Dec), 2021",22.23
South Asia,Maldives,78587,14536.0,26571,-81.5,82.8,1.74,"Calendar Year (Jan - Dec), 2020",21.6
South Asia,Maldives,78587,14536.0,26571,-81.5,82.8,1.74,"Calendar Year (Jan - Dec), 2019",13.9
South Asia,Nepal,164040,40822.0,52544,-75.1,28.7,3.44,"Calendar Year (Jan - Dec), 2021",24.39
South Asia,Nepal,164040,40822.0,52544,-75.1,28.7,3.44,"Calendar Year (Jan - Dec), 2020",19.8
South Asia,Nepal,164040,40822.0,52544,-75.1,28.7,3.44,"Calendar Year (Jan - Dec), 2019",21.9
